gender_stress;Run;Aggressor;Person;Stress;aggressor_pct
0.1;0;135;3839;0.01606729846599882;0.03516540765824434
0.1;1;114;3873;0.01606475352554017;0.02943454686289698
0.1;2;125;3914;0.01621496710256382;0.03193663771078181
0.1;3;120;3871;0.016285300863305152;0.030999741668819428
0.1;4;109;3873;0.01614544777197772;0.028143557965401498
0.1;5;128;3861;0.01623743416958243;0.033152033152033154
0.1;6;106;3930;0.016011632549973398;0.02697201017811705
0.1;7;109;3937;0.015778462367552266;0.027686055372110743
0.1;8;109;3926;0.01613257222473269;0.027763627101375445
0.1;9;116;3909;0.015990679348297756;0.029675108723458684
0.1;10;127;3910;0.01593796116472436;0.03248081841432225
0.1;11;124;3889;0.01630505385903198;0.031884803291334536
0.1;12;109;3887;0.0160916522259251;0.028042191921790582
0.1;13;123;3819;0.015992569193307212;0.03220738413197172
0.1;14;124;3860;0.01616072894117081;0.03212435233160622
0.1;15;121;3885;0.01615527150023173;0.031145431145431144
0.1;16;133;3878;0.01631185918401227;0.03429602888086643
0.1;17;124;3913;0.016159425537835687;0.03168924099156657
0.1;18;126;3880;0.016437006918112226;0.032474226804123714
0.1;19;119;3873;0.015956601813755043;0.03072553576039246
0.1;20;109;3898;0.01588774857340116;0.027963057978450487
0.1;21;117;3863;0.01615623547249269;0.030287341444473207
0.1;22;106;3894;0.016055004749991685;0.027221366204417053
0.1;23;99;3916;0.01612912709351118;0.025280898876404494
0.1;24;110;3917;0.0162986238180896;0.02808271636456472
0.1;25;113;3932;0.016065371758692843;0.02873855544252289
0.1;26;119;3853;0.016092334980834715;0.03088502465611212
0.1;27;114;3881;0.016329505078973752;0.029373872713218244
0.1;28;124;3875;0.015664864483007423;0.032
0.1;29;120;3885;0.015947966208409745;0.03088803088803089
0.1;30;122;3902;0.01611987358002389;0.031266017426960536
0.1;31;131;3864;0.016188705862655486;0.03390269151138716
0.1;32;108;3882;0.016064562598755987;0.027820710973724884
0.1;33;113;3910;0.01608506392065638;0.028900255754475704
0.1;34;106;3883;0.016214931429355015;0.027298480556270925
0.1;35;120;3912;0.016013387680599036;0.03067484662576687
0.1;36;130;3861;0.016216766924149;0.03367003367003367
0.1;37;126;3878;0.016317862781195156;0.032490974729241874
0.1;38;135;3828;0.016004636892983027;0.03526645768025078
0.1;39;109;3948;0.015901352252919235;0.027608915906788246
0.1;40;112;3895;0.01610676103763044;0.028754813863928114
0.1;41;114;3920;0.0160562448727094;0.029081632653061223
0.1;42;123;3845;0.01620996899717183;0.03198959687906372
0.1;43;113;3869;0.01615823476945127;0.029206513310933057
0.1;44;121;3878;0.01600394961038487;0.031201650335224342
0.1;45;122;3873;0.015973439234454833;0.03150012909888975
0.1;46;129;3883;0.016291680559144796;0.033221735771310844
0.1;47;113;3927;0.016149461232964464;0.028775146422205244
0.1;48;119;3848;0.016250191087244674;0.030925155925155927
0.1;49;112;3896;0.01591468276155683;0.028747433264887063
0.1;50;125;3897;0.016194227257626446;0.03207595586348473
0.1;51;126;3863;0.016070623060775804;0.032617136940201914
0.1;52;114;3807;0.01620777093185056;0.029944838455476755
0.1;53;120;3910;0.01623299806905979;0.030690537084398978
0.1;54;127;3860;0.016273835509595765;0.03290155440414508
0.1;55;122;3888;0.016206046422487498;0.03137860082304527
0.1;56;132;3846;0.016258410736226945;0.0343213728549142
0.1;57;113;3886;0.016202400794215345;0.02907874420998456
0.1;58;120;3876;0.015972220094463602;0.030959752321981424
0.1;59;132;3868;0.016239340927975267;0.03412616339193381
0.1;60;106;3958;0.01616521879767791;0.026781202627589692
0.1;61;147;3802;0.016452198518177655;0.0386638611257233
0.1;62;124;3930;0.015946703651806452;0.03155216284987277
0.1;63;123;3922;0.016372166603144587;0.03136155022947476
0.1;64;124;3918;0.016385470600987082;0.03164880040837162
0.1;65;115;3859;0.01609330580220494;0.02980046644208344
