AREAP;attacked;denounce;females;Attacks per female;Denounces per female
3106200005001;2.0275;0.7165;15.5795;133.5044720184903;46.96012685457666
3106200005002;1.8625;0.657;14.6615;130.47993937499834;45.86832082772295
3106200005003;2.2585;0.819;17.7235;131.01680617012073;47.63501177526276
3106200005004;1.24;0.442;10.051;129.38077357369133;46.74387747615294
3106200005005;1.692;0.6;13.154;134.51290265342539;47.151175197083845
3106200005006;1.208;0.4245;9.9955;126.37440295772294;43.89590952348292
3106200005007;1.9025;0.661;14.7675;133.75734835874403;46.5845894909773
3106200005008;1.3545;0.501;11.975;118.01677273107134;43.772241404648234
3106200005009;1.175;0.431;10.32;120.22974672741273;44.07736814269315
3106200005010;1.037;0.348;9.431;116.83649620932874;40.2925459323098
3106200005011;1.069;0.38;9.955;114.1041574825241;40.22340176163699
3106200005012;1.3905;0.5105;12.275;119.40241235750031;43.40369717442847
3106200005013;0.9559779889944973;0.344672336168084;8.64832416208104;119.84467342798577;42.61781748487559
3106200005014;1.6175;0.5545;13.0265;129.68832781724464;44.57448130924869
3106200005015;1.8575;0.665;15.5275;124.15200912074316;44.78937861981464
3106200005016;1.3055;0.4595;11.118;122.71940511104904;42.910610323311325
3106200005017;2.7615;1.02;21.246;133.45121129140563;49.389326504295134
3106200005018;1.7825;0.628;14.483;126.37190321619225;44.40151853031496
3106200005019;1.5995;0.5615;13.324;124.6476667464265;43.67573014738207
3106200005020;1.276;0.443;10.0935;134.01741299206435;47.017231693315175
3106200005021;1.2215;0.4355;9.7815;130.67649448504682;46.77102307951755
3106200005022;1.894;0.672;14.98;130.10465370794296;46.308660164474105
3106200005023;1.4015;0.4875;11.8285;124.54145881361704;43.57920650482154
3106200005024;1.624;0.5675;12.4925;137.83096078013241;48.34894804642088
3106200005025;1.3165;0.4805;10.1135;137.8697698092236;50.331467753952175
3106200005026;2.138;0.745;16.7595;131.7125664119427;45.96539829831416
3106200005027;1.1535;0.4035;9.3015;132.4636691932934;46.53025931327004
3106200005028;1.615;0.607;12.4735;134.62451784791776;50.982139515335646
3106200005029;1.1935;0.4235;9.5105;133.40222998750448;46.75759899715003
3106200005030;2.2035;0.7945;16.87;136.18739252641438;49.39352539657151
3106200005031;1.7955;0.634;13.7605;134.74078158427525;47.42435874746033
3106200005032;1.978;0.7015;14.9625;138.0401141339397;49.03777965223463
3106200005033;1.172;0.4125;9.5295;128.9274684422902;44.70858056202477
3106200005034;1.6315;0.6035;12.797;133.24045541078888;49.265995650301626
3106200005035;1.352;0.4645;11.097;128.30664601136715;44.77935382256193
3106200005036;1.3695;0.486;11.7205;121.59061137632928;43.174501512531435
3106200005037;1.4655;0.5115;11.307;138.56243103227195;46.86949797923086
3106200005038;1.2235;0.424;9.865;130.80329740778626;45.628585739595685
3106200005039;1.801;0.649;14.9555;123.85813770934077;44.57950148684503
3106200005040;1.467;0.516;11.152;138.89795458454506;48.50600761038056
3106200005041;1.204;0.4395;9.259;136.48881008977307;50.73565227557093
3106200005042;1.2625;0.4635;9.832;135.8977515913737;50.49993750874164
3106200005043;2.0965;0.7405;16.692;129.84634675912636;46.027095356652815
3106200005044;1.385;0.493;11.127;129.80026234365968;46.32327238175512
3106200005045;1.3615;0.4785;10.609;134.77220233821956;47.723232862338776
3106200005046;1.327;0.4635;10.9185;127.9872887548465;44.24627249470507
