AREAP;attacked;denounce;females;Attacks per female;Denounces per female
5200050001001;0.6825715720743345;0.2275238573581115;5.584630838774485;131.3578156872982;43.12594111062221
5201405005001;2.9475;1.082;23.2135;129.5460556382769;47.80141986442006
5201405005002;3.2035;1.1495;23.1355;140.7093984170376;50.38329152688475
5201405005003;3.02;1.1025;23.0355;133.25881351814198;48.942163994422664
5201405005004;3.4055;1.2145;28.9085;119.3585016551369;42.83969565848211
5201405005005;3.1605;1.1185;25.015;128.9684274608263;45.73610133730427
5201405005006;3.942;1.4225;31.8375;125.96526519193796;45.53529731923876
5201405005007;4.149;1.46;33.5005;125.4654268070342;44.250262241028906
5201405005008;3.5035;1.2345;27.468;129.70000574858625;45.829115134905095
5201405005009;3.042;1.1155;23.881;129.4598227807475;47.22080959730141
5201405005010;2.999;1.0805;24.9455;122.11230696229586;43.8109600724699
5201405005011;4.1935;1.546;32.6495;130.0812641273746;47.91924128930717
5201405005012;5.2605;1.86;41.293;128.89390218469117;45.6535165923618
5201405005013;3.2035;1.1475;25.477;127.67524413523671;45.73425689059237
5208707005001;4.175;1.5345;33.439;126.57762002817698;46.42429846183467
5208707005002;4.7065;1.695;37.113;128.49990092707154;46.2699290496644
5208707005003;2.542;0.8795;20.198;128.34626749481066;44.496066571832245
5208707005004;2.4975;0.897;20.34;125.2471507709041;44.87749714409679
5208707005005;2.66;0.9565;21.4395;126.76938486696068;45.536259992494934
5208707005006;3.5825;1.277;30.207;121.17075837046616;43.13347581374391
5208707005007;3.1825;1.183;26.0685;124.82651962831926;46.329088824365826
5208707005008;2.8415;0.989;23.0555;126.20842030252858;44.08012211509088
5208707005009;3.155;1.1105;25.5415;126.0189364906488;44.35367485311392
5208707005010;3.0095;1.0795;23.5685;130.16030792840945;46.34396750029899
5208707005011;3.1305;1.0955;24.5045;130.42501486563637;45.62789275158304
5208707005012;2.7555;0.983;22.1565;127.06376452361792;45.34342873789926
5208707005013;2.838;1.0395;22.4655;128.67138697838342;47.22089871680546
5208707005014;3.166;1.1645;23.871;135.0479428996812;49.77809766495371
5208707005015;3.243;1.148;24.691;133.97543365311873;47.57165150206286
5208707005016;2.946;1.046;23.6345;127.53894504455202;45.43597026727354
5208707005017;3.89;1.37;30.249;130.60144111901153;45.852175966338
5208707005018;3.6375;1.318;28.987;126.92286823276336;45.92121307235661
5208707005019;3.072;1.0685;24.7145;126.46052081545821;44.363852276080415
5208707005020;2.953;1.0675;24.7655;121.5591878554441;43.800601101260256
5208707005021;3.0235;1.065;24.3125;126.83269557548262;44.770247003374216
5208707005022;2.8945;1.03;23.323;126.36045502578158;44.824345501754195
5208707005023;2.838;1.025;22.1415;130.1347557168877;47.11414247096366
5208707005024;2.8455;1.0115;22.5505;129.06611754810675;45.78900664905692
5208707005025;2.963;1.099;22.464;134.63352221392915;49.83552858603414
5208707005026;3.489;1.2725;26.6385;133.39621495622697;48.46320696927112
5208707005027;3.11;1.1205;24.6015;129.191358490465;46.553370130898635
5208707005028;3.1865;1.156;26.8165;121.67312494551241;44.184762075113255
5208707005029;2.671;0.9645;22.899;119.27811770807645;42.8871401217689
5208707005030;2.92;1.0555;23.2125;128.04342347888155;46.40089162173252
5208707005031;2.8975;1.0555;23.4795;126.11022892399653;46.145002012589636
5208707005032;2.9585;1.0505;22.532;134.05658811390285;47.53061620526413
5208707005033;3.251;1.152;26.2045;125.53153565802434;44.557558600466294
5208707005034;3.7;1.355;29.6425;126.2908872383238;46.232085110195655
5208707005035;4.1065;1.461;33.1095;126.11323232622026;44.76343145826467
5208707005036;2.391;0.8285;21.484;114.33359656517007;39.550572346764305
5208707005037;2.689;0.9655;23.646;116.20620830926428;41.746559960888504
5208707005038;2.792;1.017;22.1815;128.73708909196444;46.92319245661443
5208707005039;2.3025;0.836;18.7615;126.03766308647945;45.89209745715554
5208707005040;2.572;0.9305;21.6735;122.15213886651604;44.00340486061831
5208707005041;2.808;1.0235;25.7205;111.62499160334451;40.705019873510345
5208707005042;3.783;1.3595;29.803;128.35919709639643;46.01509999775661
5208707005043;3.211;1.152;26.2835;125.3130275380653;44.907075977740675
5208806003001;1.5325;0.5525;11.5095;136.88335360889516;49.38251236422665
5208806003002;1.98;0.7145;15.2815;132.9420533993506;48.04531579153702
5214507001001;2.477;0.8815;19.402;131.0718066219809;46.815966619917695
5220454003001;1.474;0.514;12.2335;124.37264209026469;43.644792310708965
5220454003002;2.607;0.903;20.902;127.48973118400679;44.371174851609894
5220454003003;4.1865;1.4915;33.549;126.40720393040638;45.0497495562193
5221403003001;1.5085;0.523;11.9815;129.32750401529321;44.36728146070573
5221403003002;1.5035;0.5335;12.113;127.3506395541122;44.575273114417044
5221403003003;1.478;0.5305;12.0485;127.12324062928323;45.77726490616502
5221403003004;1.7225;0.6275;13.2595;133.6515127266338;48.63238424062906
5221403003005;4.526;1.6155;33.618;136.55407514583538;48.79276728763364
