Person;Victim;Aggressor;Stress
4129;0;0;0.0
4077;26;26;0.0
4041;44;44;0.023989831966839743
4019;55;55;0.02416137805744018
3979;75;75;0.024306682312931475
3945;92;92;0.024432297638023372
3901;114;114;0.024556560602680633
3869;130;130;0.0246159705381134
3825;152;152;0.024683189682691283
3793;168;168;0.02477969218697971
3761;184;184;0.024839830872095396
3721;204;204;0.024907979492421836
3677;226;226;0.02502976685868728
3649;240;240;0.02505103143250785
3619;255;255;0.02511894897653716
3595;267;267;0.025087254605212
3585;272;272;0.025103336210879845
3553;288;288;0.02517002023611294
3529;300;300;0.02522279138832148
3499;315;315;0.02526533247682329
3463;333;333;0.025244737857454288
3449;340;340;0.025271842839542376
3437;346;346;0.025318839044370583
3405;362;362;0.02533882523641766
3375;377;377;0.025345461493515253
3363;383;383;0.025309199534099387
3343;393;393;0.02537817598493417
3321;404;404;0.025369015292217762
3307;411;411;0.025448707465108467
3281;424;424;0.025459460986501443
3251;439;439;0.025481747857607498
3231;449;449;0.025496963885472984
3213;458;458;0.025519823549819454
3197;466;466;0.02551111763761474
3183;473;473;0.025546590249237975
3165;482;482;0.02554487939059968
3143;493;493;0.025522574240368752
3117;506;506;0.02557422652608572
3109;510;510;0.025554458657471402
3101;514;514;0.025616631226426545
3079;525;525;0.025588906546961443
3067;531;531;0.025587441527214372
3059;535;535;0.02556374223628784
3051;539;539;0.025595500063666708
3035;547;547;0.025572019663725836
3021;554;554;0.02554784635611954
3007;561;561;0.025583934115564654
2995;567;567;0.0256672654030711
2985;572;572;0.02564639999240363
2977;576;576;0.02566248340378451
2963;583;583;0.02566710419858905
2953;588;588;0.02572717464640832
2949;590;590;0.025726571900477183
2937;596;596;0.025694147980132122
2931;599;599;0.02572350205378438
2923;603;603;0.025791442768459173
2919;605;605;0.02575752339117028
2915;607;607;0.025779985729764705
2905;612;612;0.02581417926622891
2899;615;615;0.025793163732704932
2889;620;620;0.02580338602822848
2881;624;624;0.025762259425151337
2875;627;627;0.02575847282448664
2865;632;632;0.025823982117753434
2857;636;636;0.025834520075978536
2845;642;642;0.025836367177785556
2835;647;647;0.025857009707905314
2831;649;649;0.025815770344673496
2821;654;654;0.025768824448458964
2819;655;655;0.025820179493326514
2809;660;660;0.025790567012586092
2805;662;662;0.025836758963859056
2793;668;668;0.025854765831245866
2791;669;669;0.025852916256813838
2785;672;672;0.025843578253580676
2781;674;674;0.02583700291170024
2777;676;676;0.025823878192553586
2769;680;680;0.02578689972800976
2765;682;682;0.025813118885790184
2761;684;684;0.02583256172742066
2759;685;685;0.025791028371401705
2751;689;689;0.02578759192807428
2745;692;692;0.02582727169314284
2739;695;695;0.02580471575720686
2735;697;697;0.025841400581268773
2731;699;699;0.0258605248532389
2725;702;702;0.0258330395884866
2721;704;704;0.025799221030292377
2717;706;706;0.02582669952197905
2713;708;708;0.025876690955165996
2713;708;708;0.025904654986545626
2707;711;711;0.025886290837698646
2701;714;714;0.02588331859124559
2699;715;715;0.025900366132974344
2695;717;717;0.025895285978901415
2691;719;719;0.02587793125313865
2687;721;721;0.025880287572893002
2687;721;721;0.025923805827416088
2687;721;721;0.025929069412702396
2687;721;721;0.02592782433000514
2675;727;727;0.025904714284746902
2667;731;731;0.025917208911377606
2659;735;735;0.025870012746286836
2659;735;735;0.025899488572100133
2657;736;736;0.026004559432704164
2655;737;737;0.025988735774310098
2655;737;737;0.02598159134164092
2647;741;741;0.025986143477622407
2645;742;742;0.025967153049126827
2637;746;746;0.025987056031264767
2633;748;748;0.025991483124419307
2631;749;749;0.025990629755400063
2627;751;751;0.02593126516677582
2625;752;752;0.025909315671257167
2617;756;756;0.0259146904792812
2613;758;758;0.025939705896851285
2613;758;758;0.025965919099123512
2609;760;760;0.025967463328780763
2603;763;763;0.025982909305026093
2603;763;763;0.026047825248519275
2601;764;764;0.02601804258249788
2599;765;765;0.0260550152934951
2599;765;765;0.02607826914150734
2597;766;766;0.026072543234506213
2597;766;766;0.026120367190454574
2597;766;766;0.02614584308898344
2597;766;766;0.0261669877743528
2593;768;768;0.026102261083393207
2591;769;769;0.026123805692084986
2589;770;770;0.02619322579640742
2587;771;771;0.0261488862652135
2583;773;773;0.02616920400240614
2583;773;773;0.026166066281135957
