chance_changing_working_status;Run;Aggressor;Person;Stress;aggressor_pct
0.01;0;181;3815;0.024236112250387444;0.04744429882044561
0.01;1;199;3721;0.024161976688042177;0.05348024724536415
0.01;2;194;3743;0.024470329380970567;0.05183008282126637
0.01;3;172;3816;0.02437392713698934;0.04507337526205451
0.01;4;178;3767;0.023953279698896456;0.047252455534908415
0.01;5;155;3799;0.02440711016284421;0.040800210581732034
0.01;6;167;3771;0.024257368886624345;0.04428533545478653
0.01;7;185;3787;0.024337922742071496;0.04885133350937417
0.01;8;173;3818;0.024066135383166064;0.045311681508643266
0.01;9;152;3824;0.024227658272489683;0.0397489539748954
0.01;10;155;3851;0.024173237901339056;0.04024928589976629
0.01;11;176;3787;0.024446398486232798;0.046474782149458674
0.01;12;154;3791;0.023999878007059657;0.040622527037720915
0.01;13;173;3797;0.024225217951045333;0.04556228601527522
0.01;14;164;3826;0.024132771337747;0.04286461055933089
0.01;15;168;3737;0.024169171602649555;0.04495584693604496
0.01;16;183;3750;0.024038379597874842;0.0488
0.01;17;166;3766;0.0243211821680055;0.044078597981943704
0.01;18;179;3733;0.024172135574025155;0.04795070988481114
0.01;19;172;3776;0.02401814482962095;0.045550847457627115
0.01;20;144;3860;0.023952586278613165;0.03730569948186528
0.01;21;182;3730;0.02405550029352376;0.048793565683646116
0.01;22;169;3781;0.024203350503447275;0.04469717006083047
0.01;23;191;3760;0.024104648160546634;0.05079787234042553
0.01;24;166;3796;0.024135293100924812;0.04373024236037935
0.01;25;159;3859;0.024026716400630078;0.04120238403731537
0.01;26;178;3776;0.024405395445782428;0.047139830508474576
0.01;27;168;3784;0.023873724568957887;0.04439746300211417
0.01;28;177;3816;0.024086719604485933;0.046383647798742135
0.01;29;180;3743;0.02414264177164779;0.04808976756612343
0.01;30;179;3783;0.024246262836384664;0.04731694422416072
0.01;31;176;3759;0.024043994491325937;0.04682096302208034
0.01;32;177;3752;0.024246823182888542;0.04717484008528785
0.01;33;178;3774;0.024120334312870726;0.047164811870694226
0.01;34;186;3794;0.024296704392990854;0.04902477596204533
0.01;35;168;3797;0.023688196317083285;0.04424545693968923
0.01;36;180;3772;0.02400581858832525;0.04772004241781548
0.01;37;179;3778;0.024352265044247114;0.04737956590788777
0.01;38;167;3779;0.02434507721049847;0.044191585075416775
0.01;39;175;3793;0.0239469512431354;0.04613762193514369
0.01;40;172;3755;0.02422195909918584;0.04580559254327563
0.01;41;160;3824;0.024135407540868747;0.04184100418410042
0.01;42;170;3807;0.02418948783789945;0.04465458366167586
0.01;43;201;3689;0.024159944303979212;0.054486310653293575
0.01;44;156;3801;0.024177029465333344;0.04104183109707971
0.01;45;167;3795;0.024090735578346026;0.044005270092226614
0.01;46;144;3873;0.02391184693733216;0.037180480247869865
0.01;47;167;3785;0.023746815897245272;0.044121532364597094
0.01;48;181;3755;0.024038106243082738;0.048202396804260986
0.01;49;180;3763;0.02421427938140767;0.04783417486048366
0.01;50;168;3800;0.024155085235630955;0.04421052631578947
0.01;51;176;3791;0.024399820837962327;0.04642574518596676
0.01;52;159;3777;0.024195490077957005;0.04209690230341541
0.01;53;181;3731;0.024008746305929512;0.04851246314660949
0.01;54;167;3753;0.024042473608063695;0.04449773514521716
0.01;55;153;3851;0.02425579631614832;0.03972994027525318
0.01;56;149;3834;0.02419571738148763;0.03886280646844027
0.01;57;166;3790;0.024158718224689946;0.043799472295514515
0.01;58;168;3836;0.023825410823470058;0.043795620437956206
0.01;59;175;3775;0.02442703821766536;0.046357615894039736
0.01;60;154;3799;0.023994325387637752;0.0405369834166886
0.01;61;177;3759;0.024170112479493664;0.047086991221069435
0.01;62;156;3788;0.024191689830312915;0.04118268215417107
0.01;63;184;3762;0.024444416301617297;0.04891015417331207
0.01;64;174;3772;0.024175428420583494;0.04612937433722163
0.01;65;165;3785;0.024011160471018617;0.043593130779392336
0.01;66;172;3741;0.024124716373867153;0.04597701149425287
0.01;67;175;3775;0.024370536570393852;0.046357615894039736
0.01;68;177;3765;0.024308596895741864;0.04701195219123506
0.01;69;167;3758;0.024203487881494977;0.04443853113358169
0.01;70;186;3807;0.02435995992526766;0.04885736800630418
0.01;71;156;3785;0.023968331373352515;0.041215323645970935
0.01;72;154;3875;0.024225267082458247;0.03974193548387097
0.01;73;182;3751;0.023967842852650526;0.04852039456145028
0.01;74;172;3768;0.02409717445447605;0.045647558386411886
0.01;75;196;3750;0.024794117774682167;0.05226666666666667
0.01;76;162;3783;0.02412077483090537;0.04282315622521808
0.01;77;169;3836;0.024186896782722043;0.0440563086548488
0.01;78;158;3764;0.023902976094169352;0.04197662061636557
0.01;79;192;3731;0.024246346156666546;0.051460734387563656
0.01;80;178;3823;0.024086534329150033;0.04656029296364112
0.01;81;164;3798;0.02399256558409457;0.04318062137967351
0.01;82;184;3770;0.024152021860452164;0.04880636604774536
0.01;83;181;3777;0.024068194462393933;0.04792163092401377
0.01;84;171;3739;0.02435335004191482;0.04573415351698315
0.01;85;178;3820;0.02408592473013081;0.04659685863874346
0.01;86;154;3860;0.024076105339027622;0.03989637305699482
0.01;87;155;3799;0.024222641847994414;0.040800210581732034
0.01;88;162;3759;0.023946189719624707;0.04309656823623304
0.01;89;195;3735;0.023999032848086486;0.05220883534136546
0.01;90;177;3800;0.024135663850813945;0.04657894736842105
0.01;91;182;3722;0.024255556659035685;0.04889844169801182
0.01;92;186;3749;0.024505278882872357;0.04961323019471859
0.01;93;160;3797;0.023909995515385904;0.042138530418751645
0.01;94;175;3783;0.02433863519816435;0.04625958234205657
