gender_stress;Run;Denounce;Females;Got attacked;Stress
0.1;0;87;1257;232;0.029365915727614617
0.1;1;68;1199;202;0.029691791803580652
0.1;2;60;1218;189;0.028402976994037977
0.1;3;73;1211;177;0.03027607183565323
0.1;4;84;1218;235;0.029607067455398647
0.1;5;82;1196;233;0.029788004605386643
0.1;6;79;1193;219;0.03083108020322011
0.1;7;78;1233;228;0.03133600298790613
0.1;8;56;1246;172;0.02927247432847948
0.1;9;64;1186;197;0.029282305209901063
0.1;10;75;1146;232;0.030067502042484928
0.1;11;74;1217;192;0.03091663959913269
0.1;12;66;1239;209;0.03081582308940053
0.1;13;62;1241;204;0.029679303943618906
0.1;14;76;1240;216;0.030094461741098727
0.1;15;85;1215;197;0.02917078321245373
0.1;16;77;1241;213;0.029398120277521516
0.1;17;77;1236;218;0.029977575389150145
0.1;18;77;1251;207;0.03022995211563785
0.1;19;83;1195;220;0.030670580520999552
0.1;20;71;1221;230;0.02998970085489735
0.1;21;77;1224;198;0.029470002197913275
0.1;22;73;1214;208;0.030730856710323703
0.1;23;84;1212;221;0.030081449338358195
0.1;24;70;1175;222;0.028698407715011618
0.1;25;64;1167;199;0.030205195716687044
0.1;26;67;1230;199;0.030175399365886924
0.1;27;73;1182;189;0.02868366801094625
0.1;28;69;1212;217;0.03070662071343028
0.1;29;78;1205;234;0.030754487777542687
0.1;30;71;1180;221;0.03005210732200793
0.1;31;63;1189;188;0.03049827417333295
0.1;32;68;1215;203;0.03101658494972294
0.1;33;63;1216;200;0.030113550279151042
0.1;34;63;1195;209;0.029957714685941723
0.1;35;75;1227;230;0.029113015903121944
0.1;36;71;1234;200;0.030305860420741196
0.1;37;80;1237;195;0.02991758312798874
0.1;38;58;1203;173;0.03042300102168735
0.1;39;64;1172;231;0.028959159859183084
0.1;40;80;1186;204;0.028915195058640476
0.1;41;71;1216;222;0.02960956630697243
0.1;42;74;1214;227;0.030038612676783132
0.1;43;73;1220;210;0.030170791504282483
0.1;44;77;1233;224;0.030807566811748396
0.1;45;67;1199;226;0.028831077360941215
0.1;46;68;1190;204;0.029911088393251756
0.1;47;68;1224;208;0.029823288399844
0.1;48;78;1236;211;0.03019861831759426
0.1;49;68;1221;211;0.029104035114420588
0.1;50;70;1218;197;0.03090429262832593
0.1;51;76;1226;205;0.02918415865356198
0.1;52;69;1201;201;0.02843665402065668
0.1;53;70;1197;191;0.02928702960767868
0.1;54;65;1162;186;0.02994632075879678
0.1;55;89;1221;235;0.02908413977385447
0.1;56;61;1214;176;0.030215588675585596
0.1;57;67;1201;193;0.030082145738756116
0.1;58;77;1218;207;0.02953520456539246
0.1;59;71;1284;205;0.028645674073272814
0.1;60;59;1187;165;0.029736553165382772
0.1;61;81;1226;213;0.029879279235484914
0.1;62;75;1262;231;0.029918858645726482
0.1;63;75;1238;182;0.030146063199760383
0.1;64;76;1203;221;0.029034299496840027
0.1;65;69;1215;194;0.02895429727134729
0.1;66;63;1243;178;0.028941517970421368
0.1;67;89;1247;230;0.030796962812911173
0.1;68;76;1197;207;0.030053040251224367
0.1;69;64;1214;190;0.029954483266327193
0.1;70;78;1223;205;0.029105536729815067
0.1;71;76;1207;228;0.02915843987680321
0.1;72;72;1215;190;0.030050537078115138
0.1;73;80;1193;215;0.02970674678584458
0.1;74;59;1207;178;0.029709784815444784
0.1;75;73;1222;204;0.03050806858505903
0.1;76;68;1226;197;0.030170990787791084
0.1;77;75;1255;188;0.03041801334159149
0.1;78;71;1241;206;0.02937405124563935
0.1;79;60;1196;198;0.030533711290091567
0.1;80;81;1253;194;0.029231380615082094
0.1;81;74;1262;218;0.02985707429088736
0.1;82;76;1259;205;0.029172287974390178
0.1;83;76;1207;213;0.030642557805013147
0.1;84;79;1251;208;0.02906433929484819
0.1;85;61;1236;189;0.030792688736237982
0.1;86;60;1255;190;0.030127178979426624
