under_influence;Run;Denounce;Females;Got attacked;Stress
0.01;0;89;1210;234;0.029554359910967606
0.01;1;73;1204;220;0.029404995376207055
0.01;2;83;1179;210;0.029033492499439654
0.01;3;81;1251;209;0.029702044689450046
0.01;4;76;1229;214;0.029293367237567168
0.01;5;74;1205;199;0.02895266059572507
0.01;6;85;1249;198;0.029824813409248054
0.01;7;82;1200;219;0.02866527239353319
0.01;8;58;1246;203;0.02971075041620599
0.01;9;80;1196;222;0.02991643075453591
0.01;10;78;1253;209;0.02861803804990299
0.01;11;71;1239;199;0.028967570892432837
0.01;12;86;1173;241;0.02922523553836429
0.01;13;75;1226;212;0.03033140521517324
0.01;14;72;1182;216;0.029615110586549
0.01;15;74;1173;217;0.028745055187252858
0.01;16;62;1197;203;0.028585814371583976
0.01;17;78;1186;225;0.02938277054246639
0.01;18;78;1247;207;0.02902851164540751
0.01;19;80;1203;211;0.030431221665801398
0.01;20;95;1255;210;0.02946928275345153
0.01;21;65;1205;200;0.029497089956303003
0.01;22;72;1247;193;0.029282361930364553
0.01;23;76;1224;220;0.028987156374931006
0.01;24;62;1215;207;0.029780867085014345
0.01;25;72;1241;209;0.029714662103179346
0.01;26;71;1240;200;0.029831016995047973
0.01;27;73;1201;218;0.030710638897580012
0.01;28;81;1197;209;0.03025580382056517
0.01;29;79;1233;212;0.029633505953348124
0.01;30;92;1224;240;0.02969466810601542
0.01;31;70;1222;218;0.030123621560372953
0.01;32;71;1205;212;0.03008167187673108
0.01;33;63;1244;204;0.029251606205908606
0.01;34;82;1243;215;0.02948420380185155
0.01;35;87;1207;213;0.02976403925358116
0.01;36;79;1236;240;0.029563186414912214
0.01;37;66;1215;215;0.03027314955701597
0.01;38;63;1208;216;0.028839575414442715
0.01;39;88;1239;218;0.02940091741515301
0.01;40;62;1209;207;0.030204000714944113
0.01;41;71;1179;192;0.029174127569704573
0.01;42;65;1224;175;0.031433909812639126
0.01;43;71;1187;184;0.029611317734655626
0.01;44;70;1219;204;0.02925184165847721
0.01;45;80;1197;213;0.030011869006513717
0.01;46;95;1231;219;0.02944107742895348
0.01;47;77;1257;221;0.029530481857752616
0.01;48;56;1153;196;0.03053095226993281
0.01;49;74;1235;213;0.029912940173849708
0.01;50;66;1160;177;0.0306734900263835
0.01;51;62;1207;183;0.030161675097800645
0.01;52;85;1249;232;0.029239410633430555
0.01;53;61;1203;185;0.029180249775292245
0.01;54;83;1204;211;0.029663030015249805
0.01;55;67;1197;181;0.02922098415163883
0.01;56;69;1225;182;0.02953108326207486
0.01;57;62;1227;216;0.030228975927677534
0.01;58;67;1251;212;0.029265920586934335
0.01;59;61;1202;168;0.029242728110263704
0.01;60;74;1208;228;0.029577944327064603
0.01;61;76;1203;208;0.029448885177165783
0.01;62;71;1226;203;0.030444514452255562
0.01;63;95;1201;213;0.02877233636392136
0.01;64;69;1196;189;0.029981189806621494
0.01;65;77;1285;222;0.029377405175518654
0.01;66;69;1242;190;0.029044817888051827
0.01;67;64;1199;216;0.03064188223532573
0.01;68;86;1218;231;0.03032179504271962
0.01;69;60;1192;177;0.029911961986796257
0.01;70;67;1161;190;0.030190493721617438
0.01;71;71;1183;200;0.030514024873819608
0.01;72;88;1238;217;0.030022136928384856
0.01;73;81;1194;219;0.02994431569521078
0.01;74;83;1241;211;0.02898033743937541
0.01;75;63;1233;199;0.029165747376619346
0.01;76;72;1203;238;0.030249848733973066
0.01;77;78;1196;209;0.028892469733207207
0.01;78;83;1229;221;0.030338372569573197
0.01;79;65;1211;203;0.029316757383707124
