dissuasion;quarantine;Run;Denounce;Females;Got attacked;Stress
False;False;0;0;1188;204;0.030772423525282876
False;False;1;0;1201;219;0.030237656526271667
False;False;2;0;1166;222;0.030222150385596128
False;False;3;0;1175;203;0.030798394852888687
False;False;4;0;1251;234;0.029898886854100273
False;False;5;0;1271;227;0.030571842204832368
False;False;6;0;1242;188;0.03035574113625708
False;False;7;0;1201;214;0.03151566858534527
False;False;8;0;1214;236;0.030972715771692808
False;False;9;0;1190;229;0.030756673760896396
False;False;10;0;1203;240;0.03050649960567006
False;False;11;0;1189;236;0.031672571297154534
False;False;12;0;1281;248;0.031095059582863564
False;False;13;0;1193;170;0.030416216203273498
False;False;14;0;1213;202;0.030015955718370794
False;False;15;0;1245;189;0.029033715679913977
False;False;16;0;1171;232;0.03029888644571641
False;False;17;0;1212;191;0.031111978983167202
False;False;18;0;1236;216;0.030262911340755507
False;False;19;0;1193;206;0.03163863426838635
False;False;20;0;1281;194;0.03049380366923999
False;False;21;0;1249;208;0.030557952677912642
False;False;22;0;1232;210;0.03162256139996524
False;False;23;0;1218;187;0.030701019706329175
False;False;24;0;1221;189;0.030770944396072624
False;False;25;0;1186;173;0.029804578946229014
False;False;26;0;1215;210;0.029489885915904505
False;False;27;0;1227;200;0.03028254379350778
False;False;28;0;1229;217;0.030555796771170023
False;False;29;0;1208;192;0.031124580724281137
False;False;30;0;1192;187;0.030237029608294892
False;False;31;0;1226;209;0.030324427246331966
False;False;32;0;1252;230;0.0307797697112094
False;False;33;0;1234;213;0.03101712259734213
False;False;34;0;1248;229;0.030492117282410042
False;False;35;0;1164;207;0.030398754728627755
False;False;36;0;1234;213;0.030634167357185972
False;False;37;0;1209;214;0.03074852803170789
False;False;38;0;1221;211;0.030633740255788387
False;False;39;0;1208;194;0.029589475108378695
False;False;40;0;1239;243;0.03116014014302885
False;False;41;0;1206;222;0.030731113512470487
False;False;42;0;1203;227;0.031206496668519244
False;False;43;0;1210;214;0.032211469256474695
False;False;44;0;1230;221;0.03080421102746896
False;False;45;0;1215;212;0.030479947871425134
False;False;46;0;1215;206;0.031125321382403284
False;False;47;0;1208;203;0.030690189144934245
False;False;48;0;1158;227;0.031029871773862905
False;False;49;0;1214;261;0.030895131375936656
False;False;50;0;1172;227;0.030595996237700495
False;False;51;0;1260;198;0.030606337800364446
False;False;52;0;1280;217;0.030488123161891614
False;False;53;0;1209;221;0.029104720314718918
False;False;54;0;1242;201;0.030428223932824697
False;False;55;0;1227;229;0.030864492495708034
False;False;56;0;1193;194;0.030404667615729967
False;False;57;0;1228;232;0.03145152048929937
False;False;58;0;1217;221;0.03060452218384353
False;False;59;0;1230;213;0.0302612101389023
False;False;60;0;1234;250;0.031015899110904476
False;False;61;0;1228;223;0.031259451702733865
False;False;62;0;1248;187;0.03018036586739533
False;False;63;0;1184;212;0.03129550177728496
False;False;64;0;1224;228;0.030431353779404372
False;False;65;0;1232;215;0.031651278101963526
False;False;66;0;1214;241;0.031497039135901184
False;False;67;0;1221;240;0.03150943886121467
False;False;68;0;1225;216;0.031667912469515336
False;False;69;0;1246;201;0.031126070287979507
False;False;70;0;1232;229;0.03050096997240185
False;False;71;0;1244;213;0.03057547375933915
False;False;72;0;1191;220;0.03224777419355069
False;False;73;0;1272;230;0.030907367211508715
False;False;74;0;1214;224;0.030122046492149706
False;False;75;0;1230;229;0.03138278306477793
False;False;76;0;1202;220;0.03113242350001858
