Denounce;Got attacked;Females;Stress;run
0;0;1205;0.0;0
2;16;1205;0.0;0
10;34;1205;0.030600702457374403;0
19;58;1205;0.03055874489853372;0
28;79;1205;0.030571202044344836;0
31;103;1205;0.030483858888072302;0
46;121;1205;0.03041264262387767;0
48;146;1205;0.03036873598283831;0
59;161;1205;0.03027135852819908;0
58;177;1205;0.030217389364497606;0
69;199;1205;0.030100687146466926;0
0;0;1220;0.0;1
5;29;1220;0.0;1
15;52;1220;0.03117885287642683;1
26;72;1220;0.03113216554768571;1
20;89;1220;0.031083072140530032;1
35;108;1220;0.03105959870225158;1
48;132;1220;0.030993145297773188;1
61;151;1220;0.030958857029635176;1
65;170;1220;0.03083097536121528;1
60;189;1220;0.030770696795199042;1
69;206;1220;0.030702524426394113;1
0;0;1187;0.0;2
0;18;1187;0.0;2
16;36;1187;0.030606600229771443;2
18;53;1187;0.030617193095579153;2
25;76;1187;0.03054259748213469;2
33;96;1187;0.030461534551504372;2
46;119;1187;0.030405277891292437;2
48;133;1187;0.030291756733031534;2
50;154;1187;0.030243485439548752;2
63;172;1187;0.03020588996863226;2
74;196;1187;0.03010920834225194;2
0;0;1232;0.0;3
1;14;1232;0.0;3
7;31;1232;0.030592077104165203;3
14;44;1232;0.030618175332089916;3
19;71;1232;0.03056876698119744;3
35;92;1232;0.030531019432264425;3
49;106;1232;0.030457696774649986;3
49;128;1232;0.030405979259338238;3
54;139;1232;0.030322118236877353;3
58;156;1232;0.030198330616014887;3
53;173;1232;0.03010482287758602;3
0;0;1211;0.0;4
9;27;1211;0.0;4
18;51;1211;0.031041453432259506;4
26;74;1211;0.031035469380456735;4
36;94;1211;0.030950336194626935;4
42;122;1211;0.030861545014602455;4
62;144;1211;0.0307728244699481;4
58;159;1211;0.030719075690185976;4
62;180;1211;0.03066973869066774;4
57;201;1211;0.03052922074717275;4
76;218;1211;0.03046769363272481;4
0;0;1193;0.0;5
5;21;1193;0.0;5
12;35;1193;0.03108711578496302;5
18;60;1193;0.031035338476975916;5
30;92;1193;0.030998169927524414;5
41;116;1193;0.030902551312358438;5
49;139;1193;0.030811553748862276;5
55;149;1193;0.03074134411338436;5
60;168;1193;0.030679824595538766;5
70;191;1193;0.0306004010993174;5
71;216;1193;0.030503283882209336;5
0;0;1226;0.0;6
4;18;1226;0.0;6
14;41;1226;0.030635371528852397;6
21;59;1226;0.030579655129537395;6
30;77;1226;0.030525484953289127;6
34;95;1226;0.030451062324783843;6
38;118;1226;0.03040697314377499;6
45;139;1226;0.030309943128067715;6
56;161;1226;0.030271026658680828;6
66;180;1226;0.030206708751009906;6
77;197;1226;0.03010797492787713;6
0;0;1247;0.0;7
3;19;1247;0.0;7
14;43;1247;0.030508352773133064;7
16;67;1247;0.030412932693397166;7
33;89;1247;0.03039363554934342;7
43;110;1247;0.030367951889364968;7
51;129;1247;0.03029254078966263;7
47;158;1247;0.030136779291768497;7
67;186;1247;0.030065392946379468;7
79;208;1247;0.02994453294515956;7
83;224;1247;0.02983924478750512;7
0;0;1279;0.0;8
6;22;1279;0.0;8
13;57;1279;0.029758217787866716;8
25;82;1279;0.02971397808619211;8
35;105;1279;0.029695500586228364;8
51;126;1279;0.029617863579977005;8
56;146;1279;0.029530894364350527;8
65;179;1279;0.029471816469045644;8
64;199;1279;0.029346364933285136;8
70;216;1279;0.029202719293679385;8
72;230;1279;0.029187936346117455;8
0;0;1210;0.0;9
5;26;1210;0.0;9
12;49;1210;0.03154079938657535;9
30;66;1210;0.0314949019004361;9
33;88;1210;0.03143549174858412;9
43;110;1210;0.03131578542394737;9
54;130;1210;0.03126950573341468;9
57;153;1210;0.03120209950178087;9
60;179;1210;0.031091042234058373;9
76;202;1210;0.030998558650040354;9
85;215;1210;0.030887973470219262;9
0;0;1211;0.0;10
8;33;1211;0.0;10
18;53;1211;0.03090530301886603;10
34;80;1211;0.030860886112254873;10
36;103;1211;0.030824186430235965;10
38;127;1211;0.030744778070824225;10
49;148;1211;0.030674737055123896;10
62;172;1211;0.030629115107837328;10
84;203;1211;0.030525259954908134;10
79;224;1211;0.030398963047583268;10
88;243;1211;0.030306320848701215;10
0;0;1229;0.0;11
5;20;1229;0.0;11
12;43;1229;0.030787008934444623;11
21;63;1229;0.03076066294549072;11
32;85;1229;0.030689849300852792;11
44;112;1229;0.030620167308522947;11
43;137;1229;0.030540848804844437;11
59;158;1229;0.030536523711695327;11
74;180;1229;0.030470492196807742;11
80;196;1229;0.030349850966006738;11
76;220;1229;0.030243520643388627;11
0;0;1232;0.0;12
10;27;1232;0.0;12
16;47;1232;0.031241793213812027;12
26;69;1232;0.03118758694393635;12
36;93;1232;0.031164893041013844;12
44;117;1232;0.031094593781871824;12
58;138;1232;0.031018673048968146;12
66;161;1232;0.030951363557142612;12
67;188;1232;0.030897483403756375;12
78;213;1232;0.030817776250295203;12
94;233;1232;0.030679913228583332;12
0;0;1237;0.0;13
5;15;1237;0.0;13
12;36;1237;0.03071983157737978;13
19;49;1237;0.030695590985475096;13
23;67;1237;0.030642635094812343;13
30;86;1237;0.030578102986938076;13
37;108;1237;0.03044448452249522;13
50;126;1237;0.030456625183283917;13
47;149;1237;0.03035218240016282;13
55;176;1237;0.030296541148752028;13
69;193;1237;0.03025397433470537;13
0;0;1226;0.0;14
5;17;1226;0.0;14
15;45;1226;0.031022403211515892;14
24;78;1226;0.030969618936679554;14
44;112;1226;0.030892136361350242;14
36;126;1226;0.030847266640247423;14
55;151;1226;0.030761493201138915;14
49;179;1226;0.030657954516647625;14
65;196;1226;0.030608492398572162;14
69;215;1226;0.030576883036218267;14
67;236;1226;0.03040367081553548;14
0;0;1201;0.0;15
3;26;1201;0.0;15
19;54;1201;0.030252071096221557;15
29;78;1201;0.030199210310096862;15
40;95;1201;0.030108927307657248;15
40;117;1201;0.030015895775593333;15
50;139;1201;0.029981231846689483;15
61;158;1201;0.029870667757345943;15
65;179;1201;0.029772478370823488;15
68;201;1201;0.029682461615596425;15
79;218;1201;0.029629717735580863;15
0;0;1263;0.0;16
7;25;1263;0.0;16
15;47;1263;0.03077919762581307;16
24;67;1263;0.030736875128099767;16
31;90;1263;0.030702604372122463;16
37;111;1263;0.030630225729830735;16
51;133;1263;0.03056618862892592;16
62;158;1263;0.03050269242891337;16
65;175;1263;0.030407758500514272;16
66;194;1263;0.030249158840780162;16
74;215;1263;0.030215518979073586;16
0;0;1215;0.0;17
2;17;1215;0.0;17
10;40;1215;0.030907410569915455;17
20;60;1215;0.030877691743816528;17
30;85;1215;0.030816761281689503;17
34;106;1215;0.030788989029855007;17
43;130;1215;0.030696815950467984;17
54;151;1215;0.030597472509733527;17
55;168;1215;0.030545958275241297;17
69;188;1215;0.030392717391317842;17
63;203;1215;0.030380147174521123;17
0;0;1249;0.0;18
2;15;1249;0.0;18
12;37;1249;0.031718225250861834;18
21;66;1249;0.03167112241688481;18
41;89;1249;0.031609740254764936;18
43;106;1249;0.03153653898113686;18
50;130;1249;0.03147828296967336;18
58;150;1249;0.031377371845343935;18
61;165;1249;0.03132981793268423;18
76;187;1249;0.03125192427759646;18
84;211;1249;0.031208172092824147;18
0;0;1223;0.0;19
2;19;1223;0.0;19
11;43;1223;0.030278889641028813;19
22;57;1223;0.030241363761718664;19
30;73;1223;0.030185161527154756;19
43;104;1223;0.030115142651888374;19
43;120;1223;0.03010758336356437;19
57;139;1223;0.02994935569926228;19
57;162;1223;0.02990836663099671;19
65;179;1223;0.029809602644560968;19
83;187;1223;0.02968277194958112;19
0;0;1222;0.0;20
7;26;1222;0.0;20
19;52;1222;0.030863982870541262;20
22;72;1222;0.030854675139241155;20
37;90;1222;0.030762865176079138;20
39;108;1222;0.03070148049409326;20
52;132;1222;0.0306107732666895;20
69;151;1222;0.030493129636319505;20
69;169;1222;0.030394563689957892;20
75;186;1222;0.030290058541513103;20
82;203;1222;0.03026798834494198;20
0;0;1216;0.0;21
7;25;1216;0.0;21
12;42;1216;0.031147882074584146;21
