Denounce;Got attacked;Females;Stress;run
0;0;1267;0.0;0
2;24;1267;0.0;0
15;46;1267;0.03290805493630711;0
26;71;1267;0.03289418010706752;0
33;99;1267;0.03274065320056636;0
32;124;1267;0.032672605790658955;0
43;146;1267;0.03253465918149058;0
44;169;1267;0.032473316227552416;0
50;195;1267;0.03236709088534937;0
64;220;1267;0.03227462618236352;0
49;239;1267;0.03213858366730289;0
0;0;1232;0.0;1
1;20;1232;0.0;1
9;41;1232;0.033609564399648545;1
13;73;1232;0.03351714460195962;1
18;99;1232;0.033454454079474207;1
33;112;1232;0.033343643828682025;1
37;140;1232;0.033299647058871305;1
33;163;1232;0.033146809533039494;1
44;188;1232;0.03305439751159372;1
50;215;1232;0.03299485548832237;1
60;239;1232;0.03286461920183035;1
0;0;1219;0.0;2
3;23;1219;0.0;2
9;56;1219;0.03329122707532987;2
22;82;1219;0.03324512624151547;2
26;101;1219;0.03318090148496423;2
25;128;1219;0.033077939544490266;2
41;153;1219;0.03300187641981734;2
38;167;1219;0.03296523452258169;2
37;188;1219;0.03286164551070113;2
43;204;1219;0.032804631138711716;2
50;232;1219;0.03274460220289816;2
0;0;1223;0.0;3
2;26;1223;0.0;3
10;54;1223;0.03339025939165943;3
13;64;1223;0.033372922745667354;3
16;89;1223;0.03330260282287391;3
27;116;1223;0.0331656868775893;3
30;137;1223;0.033113208498124075;3
39;160;1223;0.03300787786591454;3
45;182;1223;0.03289394981741822;3
42;199;1223;0.03278397311761721;3
50;212;1223;0.03267518722390374;3
0;0;1182;0.0;4
1;14;1182;0.0;4
7;28;1182;0.03241748864509988;4
13;51;1182;0.03231276126721279;4
15;74;1182;0.03223794815474372;4
31;102;1182;0.03216831571135357;4
34;129;1182;0.03214160290527584;4
42;144;1182;0.03197789355867591;4
34;159;1182;0.03188552086918854;4
45;185;1182;0.03172105187487866;4
53;204;1182;0.03166750555291277;4
0;0;1226;0.0;5
3;24;1226;0.0;5
9;49;1226;0.03396355871921708;5
22;74;1226;0.03385720619584498;5
20;91;1226;0.03379522286286304;5
25;114;1226;0.033709848085317046;5
37;141;1226;0.033635539004437706;5
43;160;1226;0.03353050097018239;5
41;192;1226;0.033446468332064355;5
57;217;1226;0.03332671181811123;5
60;238;1226;0.03323568423150334;5
0;0;1223;0.0;6
5;28;1223;0.0;6
12;52;1223;0.03200698988211131;6
24;80;1223;0.03194482736626327;6
29;105;1223;0.03183883260186153;6
30;136;1223;0.03175273608325807;6
42;160;1223;0.03172937081281647;6
47;187;1223;0.03161416083514205;6
39;213;1223;0.03150405100794844;6
50;232;1223;0.031373996161683376;6
55;254;1223;0.031328606128925816;6
0;0;1266;0.0;7
7;24;1266;0.0;7
6;47;1266;0.03313243356028177;7
16;73;1266;0.033064088347802875;7
19;96;1266;0.032920089900992565;7
30;119;1266;0.03288711641952983;7
25;141;1266;0.032826615735464124;7
38;165;1266;0.032724197061142705;7
48;185;1266;0.032655592918935536;7
45;208;1266;0.032558602380366675;7
55;234;1266;0.032467389159963535;7
0;0;1214;0.0;8
3;29;1214;0.0;8
12;65;1214;0.034602465036872025;8
19;89;1214;0.0345590589351225;8
18;108;1214;0.03444982226956978;8
33;134;1214;0.034399472632361934;8
42;157;1214;0.034338102658367564;8
38;177;1214;0.034234734062921664;8
47;197;1214;0.03412243262998743;8
56;216;1214;0.03405572104242711;8
59;236;1214;0.033913967882976966;8
0;0;1190;0.0;9
1;21;1190;0.0;9
8;51;1190;0.034132392909790706;9
22;70;1190;0.034085554767737974;9
18;92;1190;0.03401414056460417;9
27;115;1190;0.03396659473554587;9
37;136;1190;0.03381597799493986;9
36;162;1190;0.03373219232309449;9
42;186;1190;0.033706694336105056;9
45;212;1190;0.033542058270859834;9
56;226;1190;0.033477895039770916;9
0;0;1211;0.0;10
8;32;1211;0.0;10
14;54;1211;0.03379969686363244;10
20;74;1211;0.033742955955074226;10
29;102;1211;0.033622529072106125;10
19;120;1211;0.033493263153505426;10
25;146;1211;0.03342088830518644;10
44;179;1211;0.03336067337159173;10
41;199;1211;0.03327946864860534;10
55;223;1211;0.033177753595156616;10
55;257;1211;0.033068716319111915;10
0;0;1174;0.0;11
3;27;1174;0.0;11
18;55;1174;0.033139690213070026;11
28;75;1174;0.03311483474395432;11
