metro;Denounce;Females;Got attacked;Stress;Denounce per female;Attacks per female
ARACAJU;80.71;1277.3;224.945;0.03055536439347515;63.192238194179296;176.1843752365137
BELEM;85.4;1373.715;239.71;0.030378426799467374;62.173576893279915;174.53935146571033
BELO HORIZONTE;76.005;1254.495;211.215;0.029970259215824933;60.61915722432745;168.43315919491926
BRASILIA;75.165;1215.7;208.5;0.03014853967486939;61.826214039214854;171.59162947199457
CAMPINA GRANDE;80.625;1268.435;226.505;0.031134639904598433;63.58637219761121;178.65708499935036
CAMPINAS;77.74;1217.52;214.98;0.029722401333957114;63.86700907185585;176.61675106438517
CAMPO GRANDE;71.255;1136.955;201.675;0.029985345676247697;62.69637453456484;177.4663585443662
CAMPOS DOS GOYTACAZES;79.1;1195.355;221.47;0.03111539780021369;66.188695453853;185.34099372261255
CAXIAS DO SUL;70.955;1133.575;200.33;0.02966371392865271;62.604035950286615;176.7656742648075
CRAJUBAR;82.425;1286.58;231.72;0.03144458698900436;64.10032129905508;180.16133923557382
CUIABA;76.425;1194.09;215.14;0.03031504703509036;64.02619914653482;180.22474095065735
CURITIBA;72.12;1183.98;202.425;0.02978114304832356;60.93701680168885;171.03002709142598
FEIRA DE SANTANA;83.41;1258.28;230.06;0.031358545588242026;66.32263355943647;182.92326939410694
FLORIANOPOLIS;69.87;1136.62;195.55;0.028938571059764304;61.4774125691508;172.11529769724928
FORTALEZA;79.8;1310.895;224.64;0.03044351153053828;60.88039238925885;171.40237921909335
GOIANIA;72.8;1178.085;206.08;0.030040358301216652;61.80367394537445;174.97660787725926
ILHEUS - ITABUNA;78.75;1189.465;219.37;0.031270990005150455;66.20457014248896;184.47436530071275
IPATINGA;79.72;1217.175;222.54;0.030520850721657035;65.51679383389808;182.90401990375344
JOAO PESSOA;80.935;1317.915;228.635;0.03056514047159188;61.436117677293005;173.56725279359102
JOINVILLE;75.015;1150.765;208.695;0.029669694390875148;65.2044039447628;181.40338811768498
JUIZ DE FORA;75.72;1209.9;212.435;0.029716148751191253;62.598777056836305;175.63470127175572
JUNDIAI;78.785;1197.63;216.64;0.02986744515538356;65.8036173266805;180.93591564167392
LONDRINA;76.19;1200.215;213.885;0.030052371422235512;63.49896561996327;178.2766800824246
MACAPA;88.505;1320.45;246.91;0.031442372786337464;67.06458544318845;187.08859474766234
MACEIO;80.205;1275.075;225.92;0.03099460064020419;62.92456866686514;177.25220404155598
MANAUS;84.435;1294.52;234.97;0.03084124793773001;65.23695876213978;181.5762830651707
MARINGA;75.045;1189.875;209.375;0.029786064881961543;63.11078824236367;176.041169516076
NATAL;80.655;1280.69;224.775;0.030332923836602518;62.99908636769461;175.57301815891643
NOVO HAMBURGO - SAO LEOPOLDO;72.67;1105.605;203.4;0.0306455633009906;65.7695032498786;184.04588032946245
PELOTAS - RIO GRANDE;72.275;1127.905;199.305;0.03029301853338711;64.09021813237466;176.77467640203434
PETROLINA - JUAZEIRO;81.23;1202.405;226.345;0.03170565140920067;67.58127621910221;188.31684850878665
PORTO ALEGRE;70.275;1166.055;193.975;0.029555969701833003;60.29844866913114;166.45749158334104
RECIFE;78.015;1282.6;216.945;0.03041706565486092;60.841913716940745;169.2118197875286
RIBEIRAO PRETO;76.83;1222.975;214.5;0.02958060497277401;62.851721260390406;175.45880304336615
RIO DE JANEIRO;66.03;1188.98;186.34;0.029383504896931655;55.56852210714624;156.78849045922428
SALVADOR;75.225;1234.24;213.3;0.030264266436417074;60.956813732882736;172.8939691691986
SANTOS;76.345;1241.15;213.055;0.02990564631230766;61.54016115176848;171.75426695016785
SAO JOSE DO RIO PRETO;74.785;1193.905;208.08;0.029352384105165445;62.65285678763072;174.34691178970985
SAO JOSE DOS CAMPOS;77.875;1223.25;217.945;0.029681603197355223;63.68793740397199;178.25258593768586
SAO LUIS;83.675;1364.125;232.975;0.0301572217181295;61.35271954315525;170.84327286438656
SAO PAULO;63.735;1246.21;179.195;0.029223983097243975;51.13904360503684;143.79343730296767
SOROCABA;77.64;1207.355;217.28;0.029955933053193586;64.31192161783233;180.01369431342152
TERESINA;88.31;1387.59;244.26;0.030751589039307355;63.667731459379446;176.08930346453042
UBERLANDIA;74.515;1157.855;207.98;0.029942354858512706;64.40022530522837;179.72503066091497
VITORIA;74.52;1172.745;207.18;0.030033557990285075;63.58055324868792;176.74872459342052
VOLTA REDONDA - BARRA MANSA;78.84;1216.08;219.05;0.03023651898301177;64.830114375032;180.17373823475174
