AREAP;attacked;denounce;females;attacks_per_female;denounces_per_females
5200258003001;0.7334669338677354;0.2605210420841683;7.344689378757515;0.10127618985334419;0.03704044786209113
5200258003002;0.9278557114228457;0.32064128256513025;7.274549098196393;0.13443171168622084;0.04636441269707801
5200258003003;0.942;0.348;8.502;0.1177866768852065;0.04217201687201686
5200258003004;1.04;0.354;9.188;0.11397811480744933;0.03835659875040678
5200258003005;1.32;0.464;10.94;0.12916932373873433;0.04605998281903851
5200258003006;1.614;0.626;14.02;0.11920198572205996;0.04691903314226638
5200258003007;2.672;0.91;21.042;0.1292749898507765;0.04392230105575449
5205497003001;1.592;0.612;14.088;0.11646739894314502;0.045638077794761714
5205497003002;1.77;0.604;14.21;0.12852945114710937;0.043437716343721185
5208004003001;0.848;0.29;7.134;0.12406657231657245;0.04362756410256408
5208004003002;0.83;0.27;7.104;0.13084003219003232;0.03974398379398376
5208004003003;1.596;0.564;13.13;0.12648686518735464;0.04537891093516345
5208004003004;1.326;0.502;10.51;0.13024967717181363;0.04892552528311038
5208004003005;1.46;0.496;11.706;0.1297602148711283;0.04547243886144814
5212501003001;0.9458917835671342;0.3527054108216433;8.234468937875752;0.11961903049077417;0.04436636899061746
5212501003002;0.844;0.316;7.776;0.11083592681827986;0.041478892186245106
5212501003003;2.536;0.92;20.344;0.12669703408530422;0.045697167137256085
5212501003004;0.9719438877755511;0.3166332665330661;7.849699398797595;0.1332203542786475;0.04364657275478916
5212501003005;1.392;0.478;12.768;0.11589657202110522;0.03955633223546467
5212501003006;1.628;0.578;13.968;0.11905445714279364;0.0426471308934904
5212501003007;1.842;0.642;15.562;0.12063905535539902;0.042611456844524775
5215231003001;1.0521042084168337;0.3106212424849699;8.29058116232465;0.13461662196632146;0.0392488217638518
5215231003002;1.898;0.68;15.56;0.12441645242552063;0.045803035275847254
5215231003003;1.112;0.394;9.43;0.12921074611662864;0.04510405036140329
5215231003004;1.588;0.572;14.338;0.11532896867218007;0.041910462776929315
5215603001001;1.664;0.554;13.56;0.13000626141294164;0.04279636298476651
5217609003001;1.136;0.422;9.732;0.1228492722963313;0.043316030048382956
5217609003002;1.754;0.698;14.974;0.12235223096907814;0.04953297990515987
5217609003003;1.988;0.72;15.866;0.12794866934158186;0.045232868204643
5219753003001;1.71;0.636;14.77;0.11626341528059694;0.04382035699455073
5219753003002;2.052;0.784;16.784;0.12552964628595936;0.047922188116844205
5221858003001;0.804;0.314;7.648;0.10941375013875035;0.0420152625152625
5221858003002;0.8336673346693386;0.3066132264529058;7.537074148296593;0.1203975883835605;0.044556003448789
5221858003003;0.824;0.304;7.328;0.11946052836052846;0.04239231324231321
5221858003004;0.852;0.312;7.72;0.11858199023199036;0.04373041958041955
5221858003005;1.276;0.46;9.854;0.1363105466343085;0.049640838040528434
5221858003006;1.416;0.554;13.292;0.11109743245238358;0.04417113518277534
5221858003007;1.584;0.588;14.406;0.11385123245795968;0.04205105169990422
5300108005001;6.312;2.308;55.552;0.11422779569311735;0.04176202530890737
5300108005002;4.794;1.718;43.734;0.11111548483721688;0.039705987954422726
5300108005003;1.66;0.634;13.376;0.1251705459617186;0.04770401281171976
5300108005004;2.826;1.03;24.138;0.11871617604696792;0.043287593281798854
5300108005005;2.368;0.868;19.238;0.12559358464274933;0.0459405867050856
