AREAP;attacked;denounce;females;Attacks per female;Denounces per female
4100400003001;1.112;0.414;8.384;136.2425451998981;50.579761904761874
4100400003002;1.174;0.46;9.652;124.42636929633831;49.221605028957995
4100400003003;2.224;0.8;18.666;121.65080628256901;43.99122571575585
4100400003004;2.272;0.806;18.688;123.5324637602596;44.12983428556197
4101804003001;1.06;0.356;9.284;116.63973154468503;40.16682010799654
4101804003002;1.086;0.412;8.286;141.95536408036403;54.137440337440275
4101804003003;1.154;0.42;8.594;142.21472693972692;52.941372516372496
4101804003004;1.26;0.402;10.198;130.47938118812726;40.6395626819001
4101804003005;1.628;0.608;12.402;136.59518741721695;50.234786985049425
4101804003006;1.712;0.63;13.7;128.91800430391757;48.512257144300456
4104006003001;1.0;0.33;7.93;136.65936922554565;43.95842490842489
4104006003002;1.642;0.588;12.764;132.9382636040766;46.378869266791604
4104204003001;0.772;0.302;7.024;116.610587125293;44.4093442505207
4104204003002;1.818;0.664;14.076;134.72970519818358;49.7077299614431
4104204003003;1.176;0.428;8.76;137.54753906224494;48.72699963435255
4104204003004;1.904;0.66;14.634;134.65340195729544;47.51889695172437
4104204003005;1.982;0.704;15.336;133.90282131281367;47.58578144454169
4104253001001;1.69;0.61;13.2;134.58207588959107;47.05519090397937
4105805005001;1.372;0.502;11.006;134.74911082217304;49.37863273338436
4105805005002;2.036;0.744;16.608;128.14931856134368;48.151421314809376
4105805005003;0.9799599198396793;0.342685370741483;7.925851703406813;133.79261019541582;47.9093551738842
4105805005004;1.524;0.552;11.896;131.26665368515214;47.234446702248526
4105805005005;1.688;0.596;13.366;129.88467647688603;46.22862024717927
4105805005006;0.972;0.36;7.998;128.28451270951265;47.32319902319899
4105805005007;0.858;0.304;7.754;118.81585799821083;42.01876815994463
4105805005008;1.154;0.378;9.144;138.11336702513165;45.51673489908781
4105805005009;1.586;0.556;12.776;129.47078181237558;46.787205318350125
4105805005010;0.876;0.344;7.528;126.20152571886308;48.58227470843567
4105805005011;1.074;0.41;9.284;123.33801574242747;45.57107500342793
4106902005001;1.872;0.654;14.148;137.1354788949303;47.93973305352361
4106902005002;2.644;0.96;22.912;116.68507568074583;43.187759796096614
4106902005003;1.222;0.444;9.688;137.62757781434252;48.84300911506793
4106902005004;2.058;0.744;16.822;124.90372288704742;45.12220637899637
4106902005005;1.482;0.544;13.112;118.71339589203365;44.026919674752484
4106902005006;1.626;0.614;14.366;116.71249397115794;43.26175591567163
4106902005007;2.022;0.73;15.278;136.43957781446213;49.59092755046112
4106902005008;2.158;0.772;17.972;123.71292758635961;44.16645036745565
4106902005009;2.576;0.928;20.698;127.62863287041282;46.01820493535242
4106902005010;1.724;0.588;14.182;124.60626448431067;42.54639568079129
4106902005011;2.228;0.826;18.256;126.94415596187996;46.72822862815121
4106902005012;1.938;0.714;15.714;126.8110710322925;46.920617527880836
4106902005013;1.602;0.554;13.33;127.15596367781724;42.53948603556891
4106902005014;2.474;0.908;21.612;117.03774495577844;42.71516169477709
4106902005015;3.37;1.206;25.82;133.15052153647756;47.29611163730066
4106902005016;1.976;0.692;15.878;127.89198425563006;44.043269065628714
4106902005017;2.454;0.888;20.676;120.6793009199116;44.031609456385304
4106902005018;2.344;0.822;18.326;131.869098378421;46.68228362737149
4106902005019;1.688;0.652;15.052;116.04606484418093;44.27578013599347
4106902005020;2.222;0.824;17.672;129.44391544469553;48.31338953170289
4106902005021;2.166;0.792;17.194;129.6064797743515;48.30142809411815
4106902005022;2.182;0.778;18.254;123.38982684710165;44.03860943436794
4106902005023;2.314;0.796;19.682;119.72808572745403;41.520158731792314
4106902005024;2.388;0.842;19.784;122.97292316223471;43.654804175111586
4106902005025;2.354;0.788;18.126;134.58270699676265;44.618411163009206
4106902005026;2.172;0.798;17.794;126.43902225529976;46.89204948910258
4106902005027;1.914;0.67;15.564;127.30040464740087;43.97544317066995
4106902005028;2.124;0.76;16.132;134.87032454720162;49.1236552599522
4106902005029;1.758;0.636;13.69;129.83818237407888;46.35214210454146
4106902005030;1.622;0.596;13.464;127.33481891397966;46.936896517281454
4106902005031;1.856;0.696;16.44;115.46753917296198;43.67175904869758
4106902005032;2.238;0.834;17.258;132.00203920576757;49.41756531747111
4106902005033;2.05;0.706;15.582;136.1095362558113;46.417357517779564
4106902005034;1.832;0.62;14.476;130.4819898275747;43.687579534652464
4106902005035;1.634;0.578;13.978;121.16582021073417;42.79428166440282
4106902005036;2.768;0.95;24.142;118.55701189105373;40.43920882846833
4106902005037;2.178;0.812;16.214;138.92271825772562;52.36993729462516
4106902005038;1.812;0.68;15.494;122.14668163794515;45.38146379849572
4106902005039;3.084;1.09;24.626;128.19475404613812;45.55202310756646
4106902005040;2.572;0.926;20.132;131.79081232238465;47.70979605955186
4106902005041;3.59;1.254;28.354;128.31603686382635;44.93858103819015
4106902005042;2.018;0.708;16.144;127.36496845133082;45.44708053429431
4106902005043;1.808;0.636;15.582;118.05679672603011;41.76333445785253
4106902005044;3.38;1.164;25.48;135.96266014096454;47.307043133014396
4106902005045;1.914;0.69;16.706;119.1232239979251;43.305918002643644
4106902005046;2.628;0.888;21.53;124.8972039501029;42.203202142482404
4106902005047;3.4;1.21;27.53;126.88049880043025;45.5548309624411
4106902005048;2.286;0.83;17.988;128.59888300206742;46.779959680291284
4106902005049;2.276;0.824;19.524;119.2497557758047;42.9397002664864
4106902005050;2.968;1.068;23.546;127.47925494782972;45.719365463066715
4106902005051;2.29;0.778;19.074;121.66615714107347;41.642325993393875
4106902005052;1.946;0.678;14.952;133.45307580657624;46.726570003111284
4106902005053;1.346;0.51;11.556;122.49560156046218;46.87387424237269
4106902005054;1.868;0.674;15.992;120.71977347749596;43.90360462852183
4106902005055;1.854;0.646;14.586;132.2064725824721;44.89043848233845
4107652003001;0.8594377510040161;0.30522088353413657;7.493975903614458;118.91394248321953;43.81800149872438
4107652003002;0.848;0.274;7.214;119.79758297258284;39.449000999001
4107652003003;1.756;0.624;14.178;129.08478364413892;46.28855977370915
4107652003004;1.792;0.646;14.622;122.71768862701288;44.82991491966247
4111258001001;1.518;0.528;12.52;123.19240630930965;42.95628243445579
4119152003001;0.886;0.316;7.578;126.32038517038502;45.41711066711064
4119152003002;1.004;0.41;8.564;122.19450957539182;48.96956540191831
4119152003003;1.99;0.764;16.396;124.13577084579175;46.91182983795045
4119152003004;1.986;0.752;16.294;125.59499869845098;47.56927846563608
4119152003005;1.936;0.704;15.378;128.5366009191598;46.4290666816619
4119509003001;0.87374749498998;0.30060120240480964;7.697394789579159;125.79382874974048;42.551353122495364
4119509003002;0.948;0.366;8.296;121.51540272592898;48.1469131745447
4119509003003;1.79;0.644;15.232;120.17670103053189;43.17884998535958
4119509003004;2.298;0.838;16.708;139.30781313172452;50.533480829223876
4120804001001;1.266;0.478;10.57;125.7261370981958;45.85657659334131
4122206003001;0.928;0.304;7.288;135.04229104229097;44.20117105117101
4122206003002;1.112;0.42;9.04;127.9446377152258;48.74790568908213
4125506005001;7.45;2.722;59.166;126.89288097694049;46.373422690100334
4125506005002;4.054;1.494;32.234;127.72842690658138;47.42602411752012
4125506005003;2.376;0.838;18.864;130.5902004149454;46.21065607689989
4125506005004;1.786;0.616;14.63;124.70695897071916;43.007804177396295
4125506005005;1.126;0.442;9.76;122.36702104225319;47.406859394475475
4125506005006;1.192;0.414;8.806;148.90659213507502;51.89771192859419
