AREAP;attacked;denounce;females;Attacks per female;Denounces per female
4300604005001;1.812;0.598;13.61;136.54909502225084;45.21146249392312
4300604005002;1.194;0.43;9.236;135.35042599299555;48.30215009448753
4300604005003;1.27;0.468;10.414;129.22070582496272;46.34298849585224
4300604005004;1.79;0.672;15.01;123.30271578752867;45.95982577527436
4300604005005;0.948;0.358;8.51;120.11618936618929;45.098190698190685
4300604005006;1.308;0.442;9.932;136.08036523720665;46.22742861713447
4300604005007;1.442;0.498;11.998;125.52349819905331;43.78547033163066
4300604005008;1.842;0.662;15.514;120.47164764252923;43.80746086528894
4300604005009;1.2;0.424;9.418;134.8100487747545;45.20905532376122
4303103003001;0.918;0.324;6.754;149.23407148407156;53.05843045843044
4303103003002;0.7254509018036072;0.26452905811623245;6.623246492985972;123.26914624008806;44.68128175543004
4303103003003;1.754;0.584;13.576;131.27943887284837;44.079857901928165
4303103003004;0.8333333333333334;0.3072289156626506;7.150602409638554;122.70229213000287;44.97370657009208
4303103003005;1.194;0.414;9.718;126.30896815602692;43.615675664205035
4303103003006;2.506;0.874;19.184;133.3124164605712;46.706077468124874
4304606005001;1.374;0.506;11.296;126.98065641788554;47.436649779529
4304606005002;1.506;0.542;11.842;135.84636987539452;48.097680578795114
4304606005003;0.93;0.326;8.4;119.1555230287428;40.33416354886939
4304606005004;0.802;0.304;6.424;138.18361638361628;52.045354645354614
4304606005005;1.384;0.51;11.206;125.87587277666017;47.06265557889261
4304606005006;0.976;0.322;8.116;124.17607339341075;41.81702904938197
4304606005007;1.094;0.43;9.01;126.25066812272688;49.44476161093806
4304606005008;1.498;0.584;12.512;122.35286038522878;47.678218310757
4304606005009;1.024;0.37;8.05;134.7507592081121;48.810659601836015
4304606005010;0.972;0.338;7.786;131.85499500499492;44.776850926850905
4304606005011;0.894;0.324;7.446;122.51198801198788;45.858413808413786
4304606005012;0.774;0.266;6.862;120.77695915195906;43.80757575757574
4304606005013;0.8012048192771084;0.3172690763052209;6.775100401606426;127.24871625474034;49.077378444848314
4304606005014;0.9698795180722891;0.3654618473895582;7.692771084337349;134.22175853518863;53.62366047607011
4304606005015;1.264;0.418;10.864;120.42665130706919;40.5822160209931
4304606005016;0.8877755511022044;0.3366733466933868;7.298597194388778;131.1767390925707;49.22079423582429
4304606005017;1.202;0.432;10.528;118.33728333070432;43.78862811595006
4304606005018;1.22;0.378;9.158;140.99823648144076;43.39735325733776
4304606005019;1.44;0.54;10.992;137.38082549470684;50.241687368433865
4306767003001;0.822;0.286;6.724;127.15917220034862;44.204195804195805
4306767003002;1.316;0.44;11.226;123.38461997239075;41.05043113920822
4307708003001;0.922;0.35;7.418;133.42812465312454;50.283089133089135
4307708003002;0.964;0.348;7.648;130.58317205670144;45.93441558441559
4307708003003;0.73;0.28;7.262;108.45388304505948;40.78962508080154
4307708003004;1.288;0.438;10.414;127.5405407372125;43.52427902335023
4307708003005;1.238;0.424;9.968;127.12096384008142;43.22039871892812
4309209005001;1.554;0.578;12.38;131.3521704989197;49.3993979274939
4309209005002;1.312;0.478;10.742;124.26937858846252;45.287159386058974
4309209005003;1.348;0.508;10.126;140.5777703720427;54.0330461592071
4309209005004;0.8795180722891566;0.321285140562249;6.748995983935743;139.9462457444384;51.91499152342525
4309209005005;1.476;0.55;11.174;139.80472169729137;52.12835379275006
4309209005006;1.192;0.454;10.096;122.63942681845155;45.54962732485951
4309209005007;0.984;0.368;7.956;133.63359140859131;49.72779165279162
4309209005008;0.89;0.328;8.246;108.51971606824539;40.87571676689323
4309209005009;1.028;0.384;8.098;133.98271059006342;50.643315018315
4309209005010;0.9739478957915831;0.342685370741483;7.713426853707415;131.85021391434208;46.6078677501523
4309209005011;1.0521042084168337;0.4028056112224449;8.292585170340681;132.3268097640371;50.98585171230456
4309209005012;1.448;0.502;10.914;137.89229727101247;48.395069507375986
4309209005013;0.8832997987927566;0.317907444668008;6.2434607645875255;162.13749362642722;55.67749933947117
4309209005014;0.7686116700201208;0.29979879275653926;6.543259557344064;125.9696875894059;50.77245580263688
4309209005015;1.236;0.476;10.206;129.47103566368278;47.30161962220783
4309308003001;0.864;0.282;7.026;131.44517149517154;43.65906315906314
4309308003002;0.8269617706237424;0.31388329979879276;6.317907444668008;139.54024680885846;51.785758953766965
4309308003003;0.89;0.32;7.416;125.41583971583961;43.317094017094
4309308003004;1.718;0.614;13.788;127.01327603088936;46.02756684581624
4309308003005;1.974;0.736;15.688;132.4847349278052;49.50178998887566
4313375001001;1.538;0.546;11.442;137.01467393975125;50.335262561655696
4314902004001;1.052;0.386;9.47;115.78448121926382;43.306551781551775
4314902004002;1.584;0.548;12.842;127.13542394355011;43.55436505359103
4314902004003;1.622;0.6;12.646;131.23759797420786;48.57542192642807
4314902004004;1.518;0.572;12.326;125.5778414538006;47.3253677664971
4314902004005;12.034;4.44;96.28;126.35314603504395;46.601963294348664
4314902004006;1.53;0.592;12.758;124.85370633838119;48.598774350864105
4314902004007;1.798;0.67;13.676;138.09694940512136;51.75594518701261
4314902004008;1.632;0.588;12.99;129.17289166502718;46.84625930485064
4314902004009;1.876;0.676;14.996;128.6603844510286;45.62615360440102
4314902004010;1.306;0.454;11.388;116.75057488875964;41.475615509361624
4314902004011;1.352;0.49;12.126;119.23696972961682;42.50212301458429
4314902004012;1.29;0.482;10.948;123.08247331443913;45.471452601406135
4314902004013;3.964;1.336;30.078;134.64754459574507;45.60972542249944
4314902004014;1.156;0.416;10.65;114.18949938949937;42.03867651955885
4314902004015;1.788;0.62;14.988;123.26448764543662;44.129660219979215
4314902004016;1.542;0.568;12.71;125.55076435432477;46.224647969849215
4314902004017;1.356;0.476;11.034;129.84698613220286;45.24567792888226
4314902004018;1.624;0.566;12.814;128.182109106251;45.12782985250342
4314902004019;1.672;0.574;13.77;127.34778492637015;43.858902186639405
4314902004020;2.842;1.076;21.826;131.99853147378172;49.735810589646796
4314902004021;1.682;0.586;14.086;121.57197312700698;41.78319144100543
4314902004022;2.018;0.706;16.754;121.40082120984458;42.95880176020165
4314902004023;2.334;0.806;18.844;126.14732779113959;43.50005699485074
4314902004024;2.986;1.104;23.514;129.16383928828466;47.500642679369385
4314902004025;2.09;0.784;15.412;138.93257021324797;52.56691761342857
4314902004026;1.78;0.632;13.248;142.11952717561078;51.884453197301475
4314902004027;2.974;1.064;22.806;133.09580444326326;47.50139993084959
4314902004028;1.864;0.666;14.948;129.39937378171993;45.689038703926286
4314902004029;1.44;0.5;11.922;128.6672249319308;43.44267258369424
4314902004030;1.882;0.688;15.912;121.68249879946609;44.62125584567835
4314902004031;1.834;0.664;15.23;124.21173274938516;45.281328369884676
4314902004032;2.346;0.818;18.57;129.28824020051968;45.409268168453806
4314902004033;1.93;0.688;15.842;125.15891650870192;45.05876788300461
4314902004034;1.74;0.66;14.41;125.27769884196657;47.57060882574745
4314902004035;1.7;0.578;13.776;126.9524003256033;43.7558025421331
4314902004036;2.808;0.988;22.916;126.517274233437;44.94870102828788
4314902004037;2.452;0.924;20.228;124.70407377930815;46.82399447219893
4314902004038;1.79;0.63;14.49;125.62930774636588;44.62698018527739
4314902004039;3.93;1.372;31.242;127.63483691282775;44.622407673697076
4314902004040;2.15;0.752;17.398;126.98507585756339;44.397504892610584
4314902004041;3.996;1.374;32.228;125.74212582213987;43.45235340230543
4314902004042;4.388;1.582;34.532;128.92161814343234;46.49112743858549
4320008003001;0.966;0.354;8.262;127.55645743145735;47.1441613941614
4320008003002;0.864;0.288;6.612;141.9932400932401;47.708963258963244
4320008003003;0.786;0.28;6.898;122.9631535131534;44.13359418359416
4320008003004;0.89;0.302;7.444;119.43593073593065;39.32045732045731
4320008003005;1.264;0.456;9.748;135.5520127189631;49.428632186526904
4320008003006;1.89;0.68;13.528;145.4343691568149;52.92506562752693
4320008003007;2.16;0.814;16.308;137.65677637217485;51.78516683062182
4323002004001;0.836;0.264;7.196;118.42942139559777;38.006879231879225
4323002004002;5.122;1.782;39.47;131.49751938103958;45.63288455159145
4323002004003;0.9078156312625251;0.32665330661322645;8.062124248496994;125.25270042805101;43.01435037907983
4323002004004;1.024;0.364;7.612;143.23265068265067;49.520016095016075
4323002004005;1.048;0.404;9.256;121.98624622711307;49.456916939269846
