AREAP;attacked;denounce;females;Attacks per female;Denounces per female
3201308005001;1.736;0.632;14.626;124.02683887105957;45.00798408386305
3201308005002;3.368;1.318;26.92;127.05250553626341;49.251947839766224
3201308005003;3.222;1.084;24.37;134.78412913997866;45.93380567112403
3201308005004;4.3;1.538;31.574;138.1818909626804;49.30881091201766
3201308005005;2.108;0.746;16.41;130.792340482218;46.00107677932185
3201308005006;4.546;1.61;35.288;129.84545554318754;46.09958076802109
3201308005007;2.244;0.778;16.77;138.8652521621046;47.40601734779449
3201308005008;1.874;0.65;15.242;129.02720501651748;44.90773620469146
3201308005009;2.384;0.822;19.492;125.37841341901128;43.689995921140294
3201308005010;3.838;1.418;31.506;123.60571357669393;45.68219473608556
3201308005011;2.46;0.886;18.534;136.3655833657578;49.51538269179942
3201308005012;2.952;1.058;22.254;135.15485165876245;47.754189407613495
3201308005013;3.49;1.268;26.424;133.4499499567144;48.37182755779657
3201308005014;2.026;0.714;16.094;129.51336488773532;46.30315696670221
3201308005015;2.82;0.988;21.29;132.9647709550742;47.19815646032588
3202405003001;1.73;0.644;14.19;125.73774160851094;47.7884281534113
3202405003002;2.018;0.724;16.398;126.94616913460844;44.760656721672056
3202405003003;1.558;0.6;13.176;122.93079586915226;47.30009254292471
3202405003004;1.982;0.726;15.75;131.73774392844658;47.888533656484285
3202405003005;2.312;0.816;16.858;137.79165824468993;48.88232572255863
3202405003006;3.554;1.268;26.662;136.30291513760648;48.48428921600397
3205002005001;2.374;0.886;18.616;130.29678156385884;48.477839205328486
3205002005002;3.208;1.138;25.3;128.3445739722096;44.9489260324574
3205002005003;2.746;0.996;21.71;129.36306300235276;46.736699753469665
3205002005004;1.708;0.612;13.212;133.31375365783768;48.03919536775578
3205002005005;1.868;0.636;15.148;129.19402383832278;44.32042729683903
3205002005006;2.268;0.78;18.704;123.82718665197568;42.39122972479444
3205002005007;1.85;0.6;15.54;124.15278108907935;40.53440793610597
3205002005008;1.928;0.7;14.314;138.26110551478698;50.30259004071557
3205002005009;3.3;1.164;26.854;124.62381935942763;44.07805914449308
3205002005010;2.106;0.766;17.1;125.53763433652178;46.68011051613472
3205002005011;2.67;0.95;21.974;123.95470212447265;43.84428802582991
3205002005012;1.97;0.682;16.194;125.61694520343326;42.73538273238701
3205002005013;1.868;0.69;14.624;130.62254808494478;48.65928303685065
3205002005014;2.832;1.038;22.286;130.5525681731993;48.231251607267
3205002005015;3.258;1.17;25.09;131.49980011594812;47.57822694044942
3205002005016;1.878;0.682;15.818;121.15229970856228;44.86264726922417
3205002005017;1.85;0.64;13.79;139.44268346892196;47.99725071969654
3205002005018;1.69;0.612;14.19;121.5318472783205;43.9952934710304
3205002005019;2.384;0.848;18.826;129.0873133638128;45.31206185212337
3205002005020;2.976;1.108;22.174;136.67696047320726;50.64827647133198
3205002005021;2.692;0.988;21.964;125.28776340517516;45.97563072559601
3205101003001;2.024;0.726;13.45;154.8784568253271;55.6879166413222
3205101003002;2.964;0.988;22.452;135.5351962780341;44.69544222842136
3205101003003;3.204;1.156;23.718;137.55213818120475;48.98319497506319
3205200005001;1.964;0.656;15.94;127.38822646269678;42.33794835113757
3205200005002;3.75;1.336;31.476;121.24910824466063;43.47782410110829
3205200005003;2.888;1.006;23.044;129.82932635589466;45.92893484058598
3205200005004;2.584;0.95;20.476;129.48277648371487;46.965244064083365
3205200005005;2.36;0.84;17.846;134.17045990410935;48.21754018031701
3205200005006;1.962;0.678;14.602;138.962891547139;48.86406780279441
3205200005007;2.852;1.038;22.936;127.78194506927137;46.890001715604
3205200005008;1.956;0.672;15.86;126.87512960616573;43.751635032408686
3205200005009;1.924;0.722;15.058;132.58016762032779;49.60546602146746
3205200005010;1.914;0.654;15.17;129.21853035325455;44.32941147314903
3205200005011;2.762;1.02;22.186;126.81734649577515;46.48922835028597
3205200005012;2.266;0.864;17.526;134.04201327137727;50.54230885455495
3205200005013;2.404;0.842;19.024;129.93326052467327;45.139355212177286
3205200005014;2.08;0.752;16.124;133.92014942489615;47.674928917945145
3205200005015;1.902;0.712;14.858;132.5198212390203;48.69017563418018
3205200005016;2.876;1.026;22.752;129.75781045368635;46.44360198031708
3205200005017;2.19;0.79;18.106;125.64919548207197;45.8540777002562
3205200005018;2.998;1.116;23.264;131.5877056168135;49.483262295841485
3205200005019;7.888;2.836;60.25;131.97098887983708;47.37968218711793
3205309005001;2.362;0.876;19.02;127.317683812969;47.200924897749516
3205309005002;1.904;0.67;15.772;124.50924637020738;44.20768206950465
3205309005003;2.636;0.93;21.842;124.49101524035206;43.05544241485306
3205309005004;3.906;1.38;31.418;127.02708101816123;44.50036143779805
3205309005005;2.206;0.754;17.596;128.56348001875992;44.090901143971216
3205309005006;1.57;0.554;13.088;125.06371474287815;43.22292065048962
3205309005007;2.806;1.036;23.95;119.1065773310091;44.07959981662069
3205309005008;2.3;0.87;19.318;122.68247020748632;46.02958307377942
3205309005009;1.842;0.66;15.932;118.37772312206509;42.558536439630124
3205309005010;5.356;1.866;44.43;121.8729192291011;42.62041128241449
3205309005011;1.704;0.568;13.296;134.21902870029476;44.955098977140935
3205309005012;1.656;0.594;13.002;132.7474908257564;47.86649398932682
3205309005013;3.954;1.492;33.27;119.94985722505949;45.562262452831966
3205309005014;5.682;2.036;47.596;120.98179452494938;43.30912011875529
